Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
Morgan's Blog	3	0	1	0	5	5	14	4	1	4	6	1	4	2	1	0	0	0	0	0	3	0	2	9	0	0	10	1	1	5	6	1	0	11	6	5	13	0	2	1	3	1	3	3	7	6	4	0	4	0	9	2	2	0	7	3	1	2	5	0	0	1	0	2	0	1	4	0	0	0	3	2	1	11	0	1	0	0	3	4	11	7	3	0	0	4	0	0	1	6	8	0	0	0	0	0	1	0	0	0	0	1	4	0	4	1	4	0	4	3	0	1	1	3	1	2	0	1	0	0	1	1	4	14	1	5	0	1	2	2	2	1	3	1	3	1	1	0	8	0	0	5	1	1	1	0	0	5	1	1	1	3	11	4	3	0	7	4	2	2	7	1	2	0	0	0	6	5	0	0	2	7	2	5	0	3	1	1	3	2	7	3	2	0	3	2	3	0	4	3	2	1	3	4	0	4	2	3	6	1	0	0	1	10	0	4	3	2	5	3	0	0	3	2	0	6	3	2	0	4	1	12	0	2	0	3	0	6	4	0	1	2	0	9	4	1	2	0	12	3	6	4	1	2	0	0	4	3	7	0	3	2	0	1	2	1	5	1	2	0	0	2	0	0	0	3	2	2	0	4	2	1	6	5	3	2	1	0	1	5	1	0	0	0	5	0	3	6	3	2	1	1	2	5	0	2	0	5	0	0	0	2	1	4	2	1	4	1	2	9	3	2	0	5	2	0	0	3	0	2	2	2	2	1	1	0	2	3	2	2	3	2	0	3	4	6	0	13	5	2	0	5	2	6	0	0	0	1	5	0	3	4	3	3	1	2	2	0	13	5	2	3	13	3	8	3	0	4	6	0	7	1	0	0	0	0	5	0	5	2	0	0	1	2	1	5	3	7	1	1	0	0	1	0	1	0	5	2	0	2	4	1	1	0	3	3	0	1	6	2	0	9	2	8	7	3	6	0	1	2	3	0	0	1	0	0	0	0	0	3	1	3	3	1	0	6	1	4	7	1	5	7	0	3	0	0	0	2	2	1	1	1	10	10	0	2	0	0	0	4	1	2	5	4	1	3	4	1	1	2	4	1	6	1	3	4	5	2	0	4	1	1	0	2	0	2	0	1	9	1	7	4	1	1	1	0	1	1	2	2
www.doginasweater.com Live Show Review Archive	10	4	5	5	7	2	136	25	4	13	2	4	0	14	1	5	1	2	0	10	1	0	6	25	3	1	35	19	0	6	38	16	12	9	7	6	2	0	2	0	14	5	3	1	5	2	7	0	9	8	21	2	0	0	5	2	12	0	2	5	2	43	3	1	0	2	1	1	5	0	2	1	1	1	0	0	0	0	30	12	0	2	13	0	12	2	0	0	6	5	9	3	33	3	12	14	7	0	2	0	4	3	0	14	20	0	2	6	19	0	1	8	6	5	3	12	4	29	8	1	31	9	5	0	2	14	2	2	5	10	12	5	9	8	7	2	4	8	28	7	3	3	1	3	4	0	3	2	7	7	4	1	8	1	2	13	2	2	3	75	1	1	2	2	7	2	2	1	0	32	0	31	6	33	9	17	4	2	1	23	18	3	7	3	4	1	4	2	1	15	11	4	3	2	3	3	2	10	1	5	0	0	1	3	17	3	4	31	11	4	3	0	6	3	0	12	1	9	1	14	2	4	5	5	38	1	0	9	4	0	2	21	12	8	10	7	9	0	5	1	14	0	6	76	0	1	3	10	2	0	0	6	0	56	2	7	32	2	0	16	6	11	0	0	0	14	58	0	1	2	1	2	8	0	1	8	11	8	0	3	3	0	12	2	12	16	25	35	2	7	12	0	1	1	37	3	1	10	1	1	10	12	10	1	21	5	15	3	4	2	8	6	8	5	4	1	5	18	0	1	16	14	9	2	1	3	0	2	2	13	2	5	0	1	5	1	4	25	20	1	9	7	3	8	3	0	0	6	1	10	44	11	1	8	7	1	5	2	67	11	6	1	45	0	10	2	0	9	40	26	4	5	0	0	1	3	1	4	46	7	24	0	1	0	12	12	2	18	1	8	4	10	0	19	0	1	0	6	4	0	19	2	0	0	0	26	0	3	6	5	6	23	0	18	5	0	63	21	6	5	3	3	3	10	3	0	9	1	2	3	1	8	1	3	40	10	4	8	3	9	15	4	0	1	2	0	1	5	8	0	8	11	3	2	39	0	2	3	0	9	5	2	1	2	1	3	0	10	2	4	1	0	11	23	9	18	1	11	1	1	10	49	23	5	8	0	16	4	2	8	7	0	0	27	3	0	0	1	6	3
künstler treu	2	0	0	0	0	2	1	1	2	0	0	0	0	2	0	1	0	0	0	4	0	8	0	0	0	0	0	1	1	2	0	0	0	1	0	0	5	1	0	2	0	1	1	5	2	1	4	0	0	6	4	5	2	0	1	1	0	1	0	4	0	3	0	0	0	0	0	4	0	0	0	11	0	2	0	0	0	0	0	1	0	0	0	3	2	1	0	0	6	1	0	1	1	7	1	1	0	0	8	0	0	0	4	0	0	1	1	0	2	0	2	0	0	0	1	1	4	0	1	0	3	9	0	0	0	0	2	2	1	2	1	0	1	1	1	0	0	2	3	0	5	1	1	0	0	2	0	2	3	0	0	0	1	1	0	1	0	1	105	0	0	0	3	3	2	0	0	0	0	2	1	0	1	1	0	3	0	2	2	3	1	3	1	2	2	0	0	0	1	1	1	3	0	5	0	2	5	0	0	1	0	0	0	0	1	0	2	3	0	0	0	0	0	1	94	2	0	1	2	2	1	0	4	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	2	0	1	1	4	1	1	0	0	2	2	0	2	0	0	0	1	0	6	2	5	1	0	2	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	3	6	0	2	0	0	0	1	0	1	1	0	1	1	1	1	0	0	2	0	1	1	1	2	0	2	0	0	0	0	5	1	2	1	7	3	0	0	8	1	0	0	0	1	0	1	3	1	3	0	0	2	7	1	0	0	0	5	1	1	0	1	2	1	0	7	1	4	0	1	1	0	0	1	2	1	0	0	5	2	5	3	1	3	0	2	5	1	1	0	0	2	0	2	3	0	0	0	0	7	2	1	1	5	0	0	1	0	0	3	0	0	0	5	1	2	0	1	0	0	1	2	0	2	0	4	0	5	0	0	5	0	0	1	0	0	0	0	4	0	5	0	0	1	5	17	1	0	1	0	2	1	86	2	0	0	0	1	2	2	2	1	2	0	1	0	0	0	13	1	3	2	0	0	3	0	0	1	0	1	0	2	1	0	0	2	2	0	2	1	1	5	2	1	0	0	1	1	1	2	0	0	0	4	0	2	0	4	0	0	0	1	0	1	0	6	0	2	0	0	1	1	0
La espiral de Joseph K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0
funky little demons	1	0	0	0	1	0	0	1	0	0	0	0	2	1	2	0	0	0	0	1	0	2	1	0	0	0	1	0	4	2	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	1	2	0	1	0	0	0	0	0	0	2	0	6	1	1	0	0	0	1	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	2	0	1	2	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	1	2	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1
Eli Jace | The Mind Is A Terrible Thing To Paste	6	4	1	4	5	6	47	6	10	2	8	6	2	4	5	5	3	5	21	11	1	4	1	5	14	9	3	13	1	5	6	1	5	0	4	5	5	4	46	35	1	20	0	8	13	5	12	0	11	2	9	1	4	1	22	9	5	0	4	0	6	23	14	3	10	5	0	1	0	13	3	2	2	3	0	0	1	4	21	8	7	3	11	0	38	5	0	0	1	8	19	1	5	0	18	14	3	0	5	1	4	3	1	1	10	3	2	13	36	7	5	20	20	11	7	5	3	1	1	26	5	1	8	1	10	23	4	4	4	15	2	13	11	17	12	4	5	6	1	17	11	4	6	8	13	10	5	1	11	4	2	2	10	9	1	4	13	0	5	4	8	10	9	2	5	5	8	8	2	60	18	12	5	15	15	16	8	4	22	6	6	7	1	2	6	3	5	1	8	3	11	3	2	3	0	11	8	4	0	6	2	3	3	5	6	0	6	13	3	2	1	0	15	3	2	3	15	9	1	16	14	1	1	5	29	5	0	5	20	6	6	7	58	9	2	15	6	7	6	17	12	11	8	26	3	12	3	2	12	0	5	5	0	8	3	16	12	3	8	6	1	19	0	0	0	5	38	14	9	8	3	28	12	4	3	9	7	14	9	15	2	0	3	5	1	5	0	1	1	12	8	2	4	2	16	8	15	9	1	34	2	0	2	1	2	13	6	5	16	3	4	6	14	6	10	0	6	21	0	1	2	3	2	14	26	1	7	3	2	9	7	2	0	3	3	4	3	0	12	1	21	4	4	6	2	0	4	11	2	1	25	8	2	15	4	0	2	7	8	24	18	4	13	10	3	7	1	2	4	37	3	6	0	0	1	0	0	15	36	14	9	0	4	4	12	1	9	13	17	11	7	0	9	10	2	3	5	1	9	9	11	3	9	3	1	6	29	11	15	7	1	2	4	3	7	1	6	31	8	6	7	3	1	9	2	7	6	8	0	2	7	10	1	4	3	8	11	6	10	12	2	4	0	2	6	0	9	32	8	6	4	28	31	22	31	0	9	0	8	8	4	2	7	10	0	6	15	24	3	1	21	6	6	29	3	22	7	2	0	16	18	6	11	5	4	0	1	7	0	0	3	4	12	3	5	0	0	4	7	5
THE HUB	0	0	6	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	0	2	0	0	0	2	2	0	2	1	0	0	0	0	0	0	0	4	0	1	1	2	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	8	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	0	2	0	0	0	0	0	26	0	0	0	0	2	0	0	0	0	1	5	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	9	0	1	0	0	0	0	1	0	0	0	0	2	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	4	1	2	1	3	0	0	0	1	0	0	0	6	8	4	0	0
The Jeopardy of Contentment	6	15	2	5	1	3	1	1	4	6	0	1	0	14	0	8	0	5	7	0	0	2	2	19	4	9	3	5	8	1	3	0	4	48	0	6	2	0	0	0	9	1	2	0	8	17	12	0	9	11	28	2	1	0	0	12	6	4	1	1	11	46	4	1	6	1	5	2	1	8	5	6	0	8	0	0	0	11	1	4	1	2	7	0	1	4	0	0	5	3	1	0	15	0	13	9	11	0	6	2	0	2	3	3	8	0	0	26	1	2	1	13	6	1	7	6	11	13	1	3	2	6	17	0	3	10	5	23	7	0	1	7	0	19	6	5	4	2	8	17	10	1	3	1	0	1	0	2	1	2	5	17	0	3	3	3	1	1	0	5	7	1	2	1	2	3	1	1	2	2	3	5	3	7	10	12	75	1	2	15	4	5	1	11	6	3	2	14	2	12	5	11	2	1	1	3	7	1	1	2	1	3	7	1	27	2	2	9	5	6	4	0	9	1	0	9	5	35	3	5	2	8	24	0	13	3	2	6	3	1	15	5	10	1	24	19	3	0	3	2	8	12	1	13	3	10	3	2	3	0	9	1	1	11	2	28	15	1	2	3	4	13	0	0	0	2	35	1	4	1	2	11	4	2	2	12	7	7	0	5	10	0	3	4	7	2	50	25	1	1	3	0	0	1	5	0	1	1	2	0	14	3	5	0	4	34	4	1	2	6	43	5	7	0	6	2	4	5	0	0	3	2	1	0	2	1	0	4	5	0	10	3	1	0	1	0	3	1	22	4	26	0	4	12	0	0	1	9	2	0	9	50	0	1	1	6	9	1	13	1	8	4	9	9	10	10	0	2	9	5	0	7	0	0	16	2	2	3	0	2	3	0	3	2	6	5	15	5	4	9	2	3	6	1	2	3	2	15	2	14	2	9	1	5	0	17	11	4	6	1	8	20	0	11	5	1	4	1	0	8	13	2	2	0	3	3	7	28	0	11	6	2	0	1	2	3	9	2	6	4	4	9	1	2	3	0	8	7	3	4	1	46	1	4	13	1	2	4	2	4	5	9	1	1	1	3	3	3	2	0	18	9	2	147	0	8	4	7	3	9	1	41	10	3	2	5	1	2	5	4	13	4	10	6	2	0	0	5	3	0
Boggle Me Thursday	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
The Bunker	5	2	3	2	8	4	3	1	1	3	6	1	2	17	0	6	0	1	5	1	2	0	2	4	4	13	6	3	1	1	4	4	2	7	5	4	4	1	5	0	4	4	5	5	12	3	2	1	5	1	2	1	5	0	1	3	12	0	0	9	24	6	1	3	0	1	0	0	3	0	3	2	7	5	0	1	1	0	3	1	8	2	9	3	5	7	0	2	1	4	1	0	0	0	6	0	22	0	1	1	1	1	1	5	4	0	1	14	9	3	1	6	20	0	6	0	2	7	2	0	9	7	4	2	0	30	0	0	1	1	3	13	6	10	10	4	2	2	10	1	0	6	0	1	0	2	3	5	4	1	1	7	1	2	1	2	5	0	0	5	2	1	7	11	2	3	5	10	1	9	8	3	2	4	2	10	6	1	1	6	7	0	0	3	0	2	0	1	0	12	11	0	1	5	1	3	0	3	57	3	2	4	3	1	7	3	4	4	3	0	10	1	29	1	5	3	13	6	4	2	3	4	0	2	3	34	0	0	7	2	1	1	59	4	9	2	14	4	1	10	18	5	1	9	3	1	19	7	4	0	2	0	0	23	3	8	0	2	1	6	5	13	1	1	0	2	29	4	1	7	3	0	6	1	1	0	5	1	11	3	0	1	7	6	1	0	26	15	8	0	2	11	1	1	1	0	2	2	1	1	10	5	11	0	0	1	15	16	8	0	1	1	3	8	4	2	12	1	1	3	4	5	6	1	2	2	0	1	3	4	4	11	0	2	1	0	2	1	19	2	32	3	3	7	0	0	5	15	4	5	8	7	5	2	0	4	2	0	4	19	2	4	3	3	3	3	2	6	10	6	2	8	1	0	4	1	7	8	1	2	3	9	2	3	2	1	0	4	0	2	4	3	0	2	4	10	0	4	0	1	2	1	1	4	9	4	2	1	3	0	9	21	1	3	55	2	5	1	6	1	4	8	2	7	1	2	3	1	0	6	1	3	2	44	0	4	1	1	10	9	3	1	0	1	0	0	0	2	4	4	3	8	0	4	5	2	0	4	6	6	1	2	1	6	0	31	5	2	0	1	18	2	2	34	54	15	4	5	0	2	1	13	2	2	4	1	4	1	1	4	5	2	1	4	5	2	2	5	7	16
Mile In Mine	4	4	0	6	7	12	2	3	7	5	1	4	9	7	3	6	3	1	2	12	2	3	4	3	3	4	5	8	2	7	4	4	7	3	4	5	3	9	5	11	7	7	3	4	2	12	1	0	11	4	19	3	0	1	15	3	1	0	4	5	3	2	1	8	3	9	7	2	5	13	3	0	1	5	3	0	0	2	5	4	15	4	3	1	3	5	0	0	1	2	4	2	12	1	5	5	12	16	3	1	0	4	1	2	5	3	8	0	14	3	1	3	9	13	12	6	3	2	4	0	3	1	2	11	3	2	2	2	4	8	5	15	4	2	7	19	7	2	3	8	1	4	11	10	0	5	10	14	1	6	3	1	1	6	4	1	4	2	1	0	3	1	19	12	4	8	1	10	2	3	8	3	4	9	4	4	0	2	5	4	5	3	1	0	1	4	6	3	2	11	6	0	5	5	4	11	1	2	3	3	16	6	8	5	12	8	4	2	3	1	6	2	1	4	0	1	7	5	2	12	9	4	2	5	1	22	0	4	5	0	4	6	5	4	2	8	4	7	36	2	5	2	1	13	4	2	4	3	1	0	19	1	0	9	5	10	18	4	11	6	4	5	0	0	0	3	10	9	0	4	7	0	10	9	3	3	4	0	7	2	0	2	2	2	5	1	2	18	6	1	4	5	1	156	2	7	3	2	4	2	8	1	2	0	3	10	8	3	3	2	6	1	12	3	12	1	5	9	0	1	4	3	8	2	5	6	2	3	16	0	1	13	0	13	4	3	4	1	13	2	1	5	0	6	6	0	2	2	1	9	4	4	15	3	2	6	1	2	4	11	4	3	9	8	4	7	0	6	3	4	3	3	0	16	4	3	7	12	2	2	2	0	1	11	2	3	8	6	20	6	1	5	9	0	4	5	5	5	3	1	5	6	3	1	1	2	1	2	1	2	7	2	3	0	3	1	7	3	2	1	2	1	0	3	5	8	4	5	0	1	5	3	2	6	0	2	5	10	3	1	4	9	0	0	2	2	6	5	0	4	9	16	4	13	4	5	4	13	0	1	11	7	2	6	4	21	7	1	1	5	9	0	11	5	0	5	2	3	0	6	2	1	14	4	1	0	5	2	2	2	12	3	2	4	2	0	1	16	6	5
Deadbeat	7	0	3	8	3	1	9	2	0	3	0	1	4	12	10	2	0	4	2	0	0	17	10	3	2	1	2	2	0	10	11	6	1	30	10	0	7	2	4	1	8	0	1	1	1	1	4	0	4	1	4	0	2	0	7	2	5	0	1	0	9	0	0	15	0	0	4	6	4	18	1	3	0	3	0	0	0	1	3	1	0	3	33	4	2	3	0	0	1	3	8	0	4	2	1	1	0	2	0	1	0	6	3	0	4	5	2	1	8	1	0	0	2	2	0	9	2	0	2	0	1	14	7	1	3	3	2	1	5	1	6	1	11	1	11	3	15	5	0	0	0	3	13	19	1	36	2	0	6	1	4	6	1	1	1	0	6	197	4	0	5	0	4	0	2	1	0	3	3	5	2	2	5	3	0	1	2	1	8	1	2	0	11	4	1	1	2	0	1	0	1	3	3	0	3	14	5	0	2	3	1	0	7	10	1	3	8	9	9	0	0	0	4	3	0	0	2	37	3	2	7	2	2	3	0	0	0	9	6	0	0	0	36	6	0	0	0	10	5	2	1	10	1	3	7	1	0	3	2	0	9	9	0	0	2	0	7	1	1	2	2	2	0	0	4	1	1	1	0	4	1	0	1	0	11	6	3	2	1	0	0	0	1	1	5	0	4	2	4	0	4	2	5	3	3	1	2	7	2	1	3	0	6	3	7	12	3	0	1	0	7	0	1	7	0	1	3	9	0	0	2	0	1	0	3	8	3	0	1	2	2	5	3	3	2	2	0	7	1	5	0	4	0	4	2	0	1	0	6	0	0	0	2	10	0	0	3	1	1	4	0	1	10	1	0	1	0	0	11	3	4	6	0	0	3	0	2	0	6	6	0	0	1	1	2	1	9	1	8	2	1	1	5	2	3	0	1	7	1	11	3	0	2	0	5	1	0	0	1	6	0	11	0	4	0	1	0	1	0	0	1	2	0	3	0	1	3	1	0	1	24	5	1	2	51	7	3	3	1	0	6	5	0	0	9	0	16	0	1	7	1	2	0	2	4	8	0	3	1	0	1	0	8	2	1	1	1	1	2	1	0	0	2	4	0	1	8	4	0	5	1	4	3	0	0	0	1	0	2	0	6	0	2	16	1	0	0	11	4	10
